"SitID","DEPT","DPHI","GR","ILD","NPHI","HorID"
105821,576.5,0.076,115.695,4.911,0.364,14000
106547,436,0.23,96.472,3.578,0.459,5000
106547,452,0.228,100.556,3.183,0.496,7000
106547,461,0.171,106.48,3.475,0.463,9000
106547,461,0.171,106.48,3.475,0.463,9500
106547,465,0.169,106.709,3.31,0.42,10000
106547,473,0.131,107.228,7.995,0.335,11000
106547,473,0.131,107.228,7.995,0.335,12000
106547,473,0.131,107.228,7.995,0.335,13000
153655,407.5,0.196,69.396,3.89,0.397,1000
153655,536,0.067,80.045,9.916,0.287,4000
153655,565,0.148,92.905,8.885,0.35,5000
153655,577,0.176,108.829,3.192,0.499,7000
153655,579.5,0.114,94.845,6.312,0.36,9000
153655,579.5,0.114,94.845,6.312,0.36,9500
153655,588,0.237,61.832,8.542,0.327,10000
153655,596.5,0.133,90.241,6.711,0.314,11000
153655,596.5,0.133,90.241,6.711,0.314,12000
153655,596.5,0.133,90.241,6.711,0.314,13000
153655,600,0.314,59.558,8.702,0.377,14000
178589,198,0.24,79.232,5.825,0.468,1000
178589,330.5,0.293,94.195,13.323,0.465,5000
178589,344,0.267,89.426,5.438,0.478,7000
178589,350,0.226,100.938,7.968,0.455,10000
178589,352,0.189,92.001,11.929,0.419,11000
178589,355.5,0.336,72.374,19.206,0.189,12000
178589,355.5,0.336,72.374,19.206,0.189,13000
178589,403.5,0.094,34.721,91.617,0.197,14000
110369,151.5,0.235,99.498,8.302,0.465,1000
110369,297,0.263,79.06,5.525,0.477,5000
110369,311,0.251,90.025,3.486,0.551,7000
110369,316,0.174,99.104,3.531,0.492,9000
110369,316,0.174,99.104,3.531,0.492,9500
110369,319.5,0.21,91.905,5.189,0.518,10000
110369,323.5,0.309,70.854,9.003,0.467,11000
110369,323.5,0.309,70.854,9.003,0.467,12000
110369,323.5,0.309,70.854,9.003,0.467,13000
110369,361.5,0.129,35.486,8.689,0.417,14000
179350,222.5,0.23,93.463,5.12,0.472,2000
179350,245,0.236,101.704,6.664,0.451,3000
